model,image_id,delta
GPT-5.2,google_gsv_004823,-0.062149256
GPT-5.2,google_gsv_004829,0.07196236
GPT-5.2,google_gsv_004845,-0.033697203
GPT-5.2,google_gsv_004862,-0.047509044
GPT-5.2,google_gsv_004874,0.14348066
GPT-5.2,google_gsv_004880,0.038410567
GPT-5.2,google_gsv_004882,-0.00993894
GPT-5.2,google_gsv_004883,-0.04003775
GPT-5.2,google_gsv_004902,-0.013508335
GPT-5.2,google_gsv_004912,-0.008396193
GPT-5.2,google_gsv_004931,-0.044074386
GPT-5.2,google_gsv_004935,0.0032338798
GPT-5.2,google_gsv_004957,0.08056709
GPT-5.2,google_gsv_004985,0.05908397
GPT-5.2,google_gsv_004991,-0.1140037
GPT-5.2,google_gsv_005001,0.053032726
GPT-5.2,google_gsv_005026,-0.039293155
GPT-5.2,google_gsv_005031,0.09688879
GPT-5.2,google_gsv_005042,-0.015460566
GPT-5.2,google_gsv_005097,0.07034768
GPT-5.2,google_gsv_005104,0.024336904
GPT-5.2,google_gsv_005117,0.08010326
GPT-5.2,google_gsv_005124,0.10161844
GPT-5.2,google_gsv_005127,0.062888145
GPT-5.2,google_gsv_005131,-0.028289407
GPT-5.2,google_gsv_005141,0.06136094
GPT-5.2,google_gsv_005145,-0.029841796
GPT-5.2,google_gsv_005146,-0.0017068237
GPT-5.2,google_gsv_005157,0.00035226345
GPT-5.2,google_gsv_005162,-0.035868034
GPT-5.2,google_gsv_005166,0.0069848746
GPT-5.2,google_gsv_005168,0.003891617
GPT-5.2,google_gsv_005173,0.09374224
GPT-5.2,google_gsv_005181,-0.003403172
GPT-5.2,google_gsv_005186,0.028743416
GPT-5.2,google_gsv_005191,0.05918979
GPT-5.2,google_gsv_005202,0.05382464
GPT-5.2,google_gsv_005211,0.037378192
GPT-5.2,google_gsv_005219,-3.618002e-05
GPT-5.2,google_gsv_005220,0.057527512
GPT-5.2,google_gsv_005223,-0.07072359
GPT-5.2,google_gsv_005236,-0.0537138
GPT-5.2,google_gsv_005240,-0.0040646642
GPT-5.2,google_gsv_005275,0.05343944
GPT-5.2,google_gsv_005282,-0.008502558
GPT-5.2,google_gsv_005310,0.027581334
GPT-5.2,google_gsv_005313,0.016743809
GPT-5.2,google_gsv_005321,-0.05943978
GPT-5.2,google_gsv_005340,-0.0076396614
GPT-5.2,google_gsv_005358,-0.058513686
GPT-5.2,google_gsv_005362,-0.010438219
GPT-5.2,google_gsv_005386,0.018551901
GPT-5.2,google_gsv_005387,-0.012948796
GPT-5.2,google_gsv_005389,0.023813352
GPT-5.2,google_gsv_005395,0.060020782
GPT-5.2,google_gsv_005414,-0.02459374
GPT-5.2,google_gsv_005423,0.065993965
GPT-5.2,google_gsv_005453,-0.08350295
GPT-5.2,google_gsv_005464,0.014607757
GPT-5.2,google_gsv_005477,-0.0811678
GPT-5.2,google_gsv_005538,0.05386293
GPT-5.2,google_gsv_005552,-0.004084289
GPT-5.2,google_gsv_005560,0.08958143
GPT-5.2,google_gsv_005586,0.060453244
GPT-5.2,google_gsv_005601,-0.045539655
GPT-5.2,google_gsv_005610,-0.02921018
GPT-5.2,google_gsv_005613,-0.022425205
GPT-5.2,google_gsv_005623,0.03462875
GPT-5.2,google_gsv_005626,0.11331979
GPT-5.2,google_gsv_005635,0.044439748
GPT-5.2,google_gsv_005651,0.0015201718
GPT-5.2,google_gsv_005659,0.008735016
GPT-5.2,google_gsv_005690,-0.020690784
GPT-5.2,google_gsv_005693,-0.035614595
GPT-5.2,google_gsv_005695,-0.17939319
GPT-5.2,google_gsv_005701,0.013337657
GPT-5.2,google_gsv_005722,0.0761058
GPT-5.2,google_gsv_005723,0.08164048
GPT-5.2,google_gsv_005724,-0.0026064515
GPT-5.2,google_gsv_005737,0.020911425
GPT-5.2,google_gsv_005747,0.11826804
GPT-5.2,google_gsv_005754,0.03857006
GPT-5.2,google_gsv_005759,-0.04616645
GPT-5.2,google_gsv_005763,0.028232694
GPT-5.2,google_gsv_005768,0.03376007
GPT-5.2,google_gsv_005772,-0.0065558553
GPT-5.2,google_gsv_005791,0.036687836
GPT-5.2,google_gsv_005795,0.014771476
GPT-5.2,google_gsv_005805,-0.021413624
GPT-5.2,google_gsv_005809,0.025782607
GPT-5.2,google_gsv_005812,-0.022197366
GPT-5.2,google_gsv_005822,-0.020872861
GPT-5.2,google_gsv_005869,0.013699308
GPT-5.2,google_gsv_005892,-0.06411436
GPT-5.2,google_gsv_005931,-0.03253019
GPT-5.2,google_gsv_005935,-0.040920988
GPT-5.2,google_gsv_005957,-0.029336259
GPT-5.2,google_gsv_005973,0.041378707
GPT-5.2,google_gsv_005980,0.030310586
GPT-5.2,google_gsv_005985,0.001091972
GPT-5.2,google_gsv_006023,0.14480962
GPT-5.2,google_gsv_006025,-0.005969286
GPT-5.2,google_gsv_006064,-0.05344951
GPT-5.2,google_gsv_006066,-0.044138387
GPT-5.2,google_gsv_006069,-0.12689608
GPT-5.2,google_gsv_006096,0.065597296
GPT-5.2,google_gsv_006126,-0.07398969
GPT-5.2,google_gsv_006146,0.17702855
GPT-5.2,google_gsv_006182,0.07384018
GPT-5.2,google_gsv_006217,0.050215483
GPT-5.2,google_gsv_006262,0.051098973
GPT-5.2,google_gsv_006272,0.04958357
GPT-5.2,google_gsv_006330,0.05423352
GPT-5.2,google_gsv_006333,-0.009427294
GPT-5.2,google_gsv_006342,0.014517009
GPT-5.2,google_gsv_006368,-0.040191993
GPT-5.2,google_gsv_006400,-0.041531876
GPT-5.2,google_gsv_006479,0.060398728
GPT-5.2,google_gsv_006495,0.09781624
GPT-5.2,google_gsv_006590,-0.13669512
GPT-5.2,google_gsv_006637,0.018762484
GPT-5.2,google_gsv_006715,0.094141945
GPT-5.2,google_gsv_006814,0.06557007
GPT-5.2,google_gsv_006819,0.06586669
GPT-5.2,google_gsv_006820,-0.09402658
GPT-5.2,google_gsv_006830,0.08783866
GPT-5.2,google_gsv_006831,0.018560395
GPT-5.2,google_gsv_006835,0.037848577
GPT-5.2,google_gsv_006857,-0.092385635
GPT-5.2,google_gsv_006871,-0.080247894
GPT-5.2,google_gsv_006906,-0.024476677
GPT-5.2,google_gsv_006910,0.14240308
GPT-5.2,google_gsv_006931,0.083997175
