model_label,dimension,region,mean_sd_shift,ci_low,ci_high,p_value,sig_p05,n_images,neutral_sd
Gemini 2.5 Flash,wealthy,OCE,0.19482615638422165,0.17981478495120512,0.20962576025595095,0.0003332222592469177,True,3000,15.543771891496338
Gemini 2.5 Flash,wealthy,LAC,0.1804581294411915,0.16533953392651057,0.19589839720086563,0.0003332222592469177,True,3000,15.543771891496338
Gemini 2.5 Flash,wealthy,ENA,0.07998916492164519,0.06572836206027949,0.09371384737468888,0.0003332222592469177,True,3000,15.543771891496338
Gemini 2.5 Flash,safe,SSA,0.5816723475886134,0.5585219024601327,0.6053907483991536,0.0003332222592469177,True,3000,11.664642522767263
Gemini 2.5 Flash,safe,NAWA,0.2151801904859867,0.19345499263512725,0.23632671650984197,0.0003332222592469177,True,3000,11.664642522767263
Gemini 2.5 Flash,safe,CSA,0.18146005439389315,0.16088505610041234,0.20160997893790794,0.0003332222592469177,True,3000,11.664642522767263
Gemini 2.5 Flash,safe,ESEA,0.03314860836171907,0.012144964270457416,0.054152252452980706,0.0026657780739753416,True,3000,11.664642522767263
Gemini 2.5 Flash,safe,OCE,0.20760744805852502,0.18646092203466974,0.2290397379475675,0.0003332222592469177,True,3000,11.664642522767263
Gemini 2.5 Flash,safe,LAC,0.08658645115173169,0.06415398773453387,0.10844738683855504,0.0003332222592469177,True,3000,11.664642522767263
Gemini 2.5 Flash,safe,ENA,-0.042007288182523285,-0.06301093227378494,-0.022146699552010582,0.0003332222592469177,True,3000,11.664642522767263
Gemini 2.5 Flash,beautiful,SSA,0.25061556933776985,0.23076737732585131,0.2702559540782641,0.0003332222592469177,True,3000,16.04050383071772
Gemini 2.5 Flash,beautiful,NAWA,0.023544563852379203,0.007481061771276712,0.04006680048515096,0.0036654448517160947,True,3000,16.04050383071772
Gemini 2.5 Flash,beautiful,CSA,0.1600115989967519,0.14245188456139407,0.17674268193730513,0.0003332222592469177,True,3000,16.04050383071772
Gemini 2.5 Flash,beautiful,ESEA,-0.0017663618071070033,-0.018079232613918722,0.013923087185431655,0.8247250916361213,False,3000,16.04050383071772
Gemini 2.5 Flash,beautiful,OCE,0.08744529981536779,0.07129867482569555,0.10396701692996099,0.0003332222592469177,True,3000,16.04050383071772
Gemini 2.5 Flash,beautiful,LAC,0.027950078006575497,0.010390363571217658,0.04675663607047945,0.002999000333222259,True,3000,16.04050383071772
Gemini 2.5 Flash,beautiful,ENA,-0.1897280388104344,-0.20635262052438264,-0.17362037768415423,0.0003332222592469177,True,3000,16.04050383071772
Gemini 2.5 Flash,depressing,SSA,-0.24593505895378678,-0.2674572230828329,-0.22396030600097158,0.0003332222592469177,True,3000,14.638010600499499
Gemini 2.5 Flash,depressing,NAWA,0.12251209418253453,0.10304223534869307,0.14232352948714513,0.0003332222592469177,True,3000,14.638010600499499
Gemini 2.5 Flash,depressing,CSA,0.044291082376399574,0.024590659424788937,0.0643302353281896,0.0003332222592469177,True,3000,14.638010600499499
Gemini 2.5 Flash,depressing,ESEA,0.21530703540815316,0.1953732018681836,0.23511847071276376,0.0003332222592469177,True,3000,14.638010600499499
Gemini 2.5 Flash,depressing,OCE,0.02220247059999464,0.002960329413332619,0.04088101060988759,0.021992669110296566,True,3000,14.638010600499499
