series,name_en,geonunit,n_points,mean_gap,median_gap,eligible
Claude Sonnet 4,Westminster,England,4,1.4881198825,1.9786677099999999,True
Claude Sonnet 4,Wiltshire,England,8,0.878697716875,0.5419015575,True
Claude Sonnet 4,Windsor and Maidenhead,England,2,,,False
Claude Sonnet 4,Wokingham,England,2,,,False
Claude Sonnet 4,Wolverhampton,England,1,,,False
Claude Sonnet 4,Worcestershire,England,9,0.44228486333333333,0.0070932,True
Claude Sonnet 4,York,England,10,0.611334245,0.00680021499999995,True
GPT-5.2,Aberdeen,Scotland,4,0.005392314999999975,0.00382849999999995,True
GPT-5.2,Aberdeenshire,Scotland,3,0.004037663333333325,0.0058842,True
GPT-5.2,Anglesey,Wales,1,,,False
GPT-5.2,Angus,Scotland,2,,,False
GPT-5.2,Argyll and Bute,Scotland,1,,,False
GPT-5.2,Barking and Dagenham,England,1,,,False
GPT-5.2,Barnet,England,4,0.49921621749999995,0.00391064999999995,True
GPT-5.2,Barnsley,England,3,0.6630285166666666,0.0020566999999999,True
GPT-5.2,Bath and North East Somerset,England,3,0.012146433333333333,0.0032094699999999,True
GPT-5.2,Birmingham,England,14,0.4288962121428571,0.00274561,True
GPT-5.2,Bolton,England,5,0.397349028,0.00061822,True
GPT-5.2,Bournemouth,England,1,,,False
GPT-5.2,Bradford,England,8,0.30773951875,0.03265799999999995,True
GPT-5.2,Brent,England,1,,,False
GPT-5.2,Bridgend,Wales,2,,,False
GPT-5.2,Bristol,England,13,0.3923179807692308,0.0030706399999999,True
GPT-5.2,Bromley,England,2,,,False
GPT-5.2,Bury,England,4,0.49917664,0.00049205999999995,True
GPT-5.2,Caerphilly,Wales,5,0.39694217600000004,-0.0015646999999999,True
GPT-5.2,Calderdale,England,8,0.73748976,0.03392002499999995,True
GPT-5.2,Cambridgeshire,England,19,0.7304887336842105,0.0125375599999999,True
GPT-5.2,Camden,England,4,0.9961969024999999,0.9952152799999999,True
GPT-5.2,Cardiff,Wales,3,0.6624130033333334,-0.0006602499999999,True
GPT-5.2,Carmarthenshire,Wales,3,0.00018810000000006672,-0.0006299499999999,True
GPT-5.2,Central Bedfordshire,England,1,,,False
GPT-5.2,Ceredigion,Wales,2,,,False
GPT-5.2,Cheshire East,England,4,0.494422285,0.0008147699999999499,True
GPT-5.2,Cheshire West and Chester,England,2,,,False
GPT-5.2,Conwy,Wales,3,0.030848146666666697,0.0030911,True
GPT-5.2,Cornwall,England,5,0.03366236399999998,0.00898904,True
GPT-5.2,Coventry,England,12,0.48963385749999994,0.00481521,True
GPT-5.2,Croydon,England,12,0.4344562191666667,0.0070934999999999505,True
GPT-5.2,Cumbria,England,6,-0.32546901666666667,0.00142992,True
GPT-5.2,Denbighshire,Wales,2,,,False
GPT-5.2,Derby,England,9,0.22613241555555558,0.0120021299999999,True
GPT-5.2,Derbyshire,England,13,0.46602773923076923,0.0017788999999999,True
GPT-5.2,Devon,England,25,0.303972192,0.0027670599999999,True
GPT-5.2,Doncaster,England,1,,,False
GPT-5.2,Dorset,England,5,0.400469148,0.0027830699999999,True
GPT-5.2,Dumfries and Galloway,Scotland,9,0.4387287811111111,0.00238336,True
GPT-5.2,Dundee,Scotland,1,,,False
GPT-5.2,Durham,England,3,0.0008381233333332666,0.00080913,True
GPT-5.2,Ealing,England,4,0.49513391,0.0024209950000000226,True
GPT-5.2,East Ayrshire,Scotland,1,,,False
GPT-5.2,East Lothian,Scotland,3,-0.0007393999999999857,-0.000265,True
GPT-5.2,East Renfrewshire,Scotland,2,,,False
GPT-5.2,East Riding of Yorkshire,England,13,0.15246487538461537,0.0014563399999999,True
GPT-5.2,East Sussex,England,2,,,False
GPT-5.2,Edinburgh,Scotland,23,0.43469324,0.00387698,True
GPT-5.2,Enfield,England,3,1.33283418,1.99409109,True
GPT-5.2,Essex,England,7,0.5794878228571428,0.02683594,True
GPT-5.2,Fife,Scotland,7,0.5594108214285715,0.0152866499999999,True
GPT-5.2,Gateshead,England,2,,,False
GPT-5.2,Glasgow,Scotland,10,0.41513589599999995,0.00258307499999995,True
GPT-5.2,Gloucestershire,England,11,0.0006436954545454517,0.00151288,True
GPT-5.2,Gwynedd,Wales,3,0.6729735033333334,0.02021496,True
GPT-5.2,Halton,England,1,,,False
GPT-5.2,Hampshire,England,21,0.5650594904761904,0.0035246999999999,True
GPT-5.2,Haringey,England,2,,,False
GPT-5.2,Harrow,England,1,,,False
GPT-5.2,Herefordshire,England,9,-0.21803980333333337,-0.0003684999999999,True
GPT-5.2,Hertfordshire,England,9,1.1095038433333333,1.95662293,True
GPT-5.2,Highland,Scotland,5,0.0003651420000000398,-0.0001974999999999,True
GPT-5.2,Hounslow,England,3,0.6676406233333334,0.01502596,True
GPT-5.2,Inverclyde,Scotland,3,-1.30777855,-1.96551434,True
GPT-5.2,Isle of Wight,England,1,,,False
GPT-5.2,Islington,England,1,,,False
GPT-5.2,Kent,England,10,0.39246685800000003,-0.0016134049999998999,True
GPT-5.2,Kingston upon Thames,England,1,,,False
GPT-5.2,Kirklees,England,5,0.06455277199999995,0.01123706,True
GPT-5.2,Knowsley,England,3,0.0058098366666666,0.00230306,True
GPT-5.2,Lambeth,England,2,,,False
GPT-5.2,Lancashire,England,6,0.9903235833333333,0.9837416,True
GPT-5.2,Leeds,England,25,0.39493478044,0.0072541999999999,True
GPT-5.2,Leicester,England,2,,,False
GPT-5.2,Leicestershire,England,2,,,False
GPT-5.2,Lincolnshire,England,13,1.2109728553846155,1.97004216,True
GPT-5.2,Liverpool,England,2,,,False
GPT-5.2,Luton,England,2,,,False
GPT-5.2,Manchester,England,5,-0.00043842600000002006,0.00278849,True
GPT-5.2,Medway,England,1,,,False
GPT-5.2,Merseyside,England,1,,,False
GPT-5.2,Midlothian,Scotland,1,,,False
GPT-5.2,Milton Keynes,England,4,0.9810964225,0.9725154949999999,True
GPT-5.2,Monmouthshire,Wales,4,0.48991986000000004,-0.00473189999999995,True
GPT-5.2,Moray,Scotland,1,,,False
GPT-5.2,Neath Port Talbot,Wales,1,,,False
GPT-5.2,Newcastle upon Tyne,England,3,1.9818472500000002,1.98216946,True
GPT-5.2,Newport,Wales,5,0.8250941879999999,0.28926466,True
GPT-5.2,Norfolk,England,14,-0.05618810357142861,0.00355685499999995,True
GPT-5.2,North Ayrshire,Scotland,1,,,False
GPT-5.2,North East Lincolnshire,England,2,,,False
GPT-5.2,North Lincolnshire,England,1,,,False
GPT-5.2,North Somerset,England,7,0.54331843,0.0012088999999999,True
GPT-5.2,North Tyneside,England,2,,,False
GPT-5.2,North Yorkshire,England,10,1.374505641,1.9384339750000001,True
GPT-5.2,Northamptonshire,England,2,,,False
GPT-5.2,Northumberland,England,9,0.44326886000000004,0.0032338,True
GPT-5.2,Nottingham,England,7,0.5746698442857143,0.0530669,True
GPT-5.2,Nottinghamshire,England,9,0.4684064733333334,0.0001966899999999,True
GPT-5.2,Oldham,England,1,,,False
GPT-5.2,Orkney Islands,Scotland,4,0.49057287499999996,0.00122041999999995,True
GPT-5.2,Oxfordshire,England,8,0.26577337125,0.016633845,True
GPT-5.2,Pembrokeshire,Wales,2,,,False
