dimension,meso7_key,meso7_label,mean_delta,ci_low,ci_high,p_value,sig_p05,n_images,model_label
wealthy,europe_northern_america,ENA,-3.5606959272439704,-3.87504942665085,-3.2631227758007113,0.0003332222592469177,True,843,Claude Sonnet 4
beautiful,sub_saharan_africa,SSA,7.251645721125075,6.6635248354278875,7.8396543985637335,0.0003332222592469177,True,557,Claude Sonnet 4
beautiful,northern_africa_western_asia,NAWA,4.153171390013495,3.316379892037787,5.000084345479083,0.0003332222592469177,True,247,Claude Sonnet 4
beautiful,central_southern_asia,CSA,1.5833333333333333,1.043010752688172,2.1182795698924726,0.0003332222592469177,True,310,Claude Sonnet 4
beautiful,east_southeast_asia,ESEA,-2.1632251720747298,-2.750798918387414,-1.5658185840707963,0.0003332222592469177,True,339,Claude Sonnet 4
beautiful,oceania,OCE,5.145555555555555,4.277736111111111,6.000069444444445,0.0003332222592469177,True,300,Claude Sonnet 4
beautiful,latin_america_caribbean,LAC,1.86509900990099,1.2731023102310228,2.4629744224422443,0.0003332222592469177,True,404,Claude Sonnet 4
beautiful,europe_northern_america,ENA,-1.6656781336496642,-2.071989916963227,-1.2919879398971925,0.0003332222592469177,True,843,Claude Sonnet 4
boring,sub_saharan_africa,SSA,-4.817474566128067,-5.56264961101137,-4.08886894075404,0.0003332222592469177,True,557,Claude Sonnet 4
boring,northern_africa_western_asia,NAWA,-1.2651821862348178,-1.7375168690958167,-0.802968960863698,0.0003332222592469177,True,247,Claude Sonnet 4
boring,central_southern_asia,CSA,-0.7983870967741934,-1.325268817204301,-0.30100806451612827,0.002999000333222259,True,310,Claude Sonnet 4
boring,east_southeast_asia,ESEA,1.7059980334316616,1.1799410029498523,2.246865781710915,0.0003332222592469177,True,339,Claude Sonnet 4
boring,oceania,OCE,-3.5727777777777776,-4.261111111111111,-2.9166111111111106,0.0003332222592469177,True,300,Claude Sonnet 4
boring,latin_america_caribbean,LAC,-2.4616336633663365,-3.139861798679868,-1.818842821782178,0.0003332222592469177,True,404,Claude Sonnet 4
boring,europe_northern_america,ENA,-1.13582443653618,-1.4442714511664685,-0.8174920917358637,0.0003332222592469177,True,843,Claude Sonnet 4
depressing,sub_saharan_africa,SSA,-8.662477558348295,-9.46143776181927,-7.911355475763014,0.0003332222592469177,True,557,Claude Sonnet 4
depressing,northern_africa_western_asia,NAWA,-3.633603238866397,-4.412955465587045,-2.8676619433198387,0.0003332222592469177,True,247,Claude Sonnet 4
depressing,central_southern_asia,CSA,-1.8306451612903225,-2.416666666666667,-1.2553091397849458,0.0003332222592469177,True,310,Claude Sonnet 4
depressing,east_southeast_asia,ESEA,1.8436578171091444,1.1774213372664697,2.5393928220255657,0.0003332222592469177,True,339,Claude Sonnet 4
depressing,oceania,OCE,-3.7816666666666667,-4.506666666666667,-3.1133055555555553,0.0003332222592469177,True,300,Claude Sonnet 4
depressing,latin_america_caribbean,LAC,-1.2986798679867986,-2.0277537128712875,-0.6159240924092411,0.0013328890369876708,True,404,Claude Sonnet 4
depressing,europe_northern_america,ENA,-1.976077500988533,-2.490164096480822,-1.4689106366152629,0.0003332222592469177,True,843,Claude Sonnet 4
safe,sub_saharan_africa,SSA,10.385996409335727,9.799521244763616,10.969554159186115,0.0003332222592469177,True,557,Gemini 2.5 Flash
safe,northern_africa_western_asia,NAWA,2.338056680161943,1.7611336032388663,2.955465587044534,0.0003332222592469177,True,247,Gemini 2.5 Flash
safe,central_southern_asia,CSA,2.370967741935484,1.768817204301075,2.967741935483871,0.0003332222592469177,True,310,Gemini 2.5 Flash
safe,east_southeast_asia,ESEA,0.7079646017699117,0.27040314650934133,1.1602753195673547,0.0016661112962345886,True,339,Gemini 2.5 Flash
safe,oceania,OCE,1.8055555555555558,1.3222222222222222,2.2945138888888894,0.0003332222592469177,True,300,Gemini 2.5 Flash
safe,latin_america_caribbean,LAC,0.9735973597359734,0.3835602310231019,1.584261551155116,0.0023325558147284237,True,404,Gemini 2.5 Flash
