dimension,condition_key,condition_label,mean_delta,ci_low,ci_high,p_value,sig_p05,n_images,model_label
boring,central_southern_asia,CSA,-2.6733333333333333,-2.9766666666666666,-2.3766249999999998,0.0003332222592469177,True,3000,Gemini 2.5 Flash
boring,east_southeast_asia,ESEA,-0.13833333333333334,-0.39666666666666667,0.1267083333333335,0.3105631456181273,False,3000,Gemini 2.5 Flash
boring,oceania,OCE,-3.1783333333333332,-3.4716666666666667,-2.8782916666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
boring,latin_america_caribbean,LAC,-1.0466666666666666,-1.3683750000000001,-0.735,0.0003332222592469177,True,3000,Gemini 2.5 Flash
boring,europe_northern_america,ENA,-0.5483333333333333,-0.8083333333333333,-0.2916666666666667,0.0006664445184938354,True,3000,Gemini 2.5 Flash
depressing,sub_saharan_africa,SSA,-3.6,-3.9166666666666665,-3.2716666666666665,0.0003332222592469177,True,3000,Gemini 2.5 Flash
depressing,northern_africa_western_asia,NAWA,1.7933333333333332,1.5,2.09,0.0003332222592469177,True,3000,Gemini 2.5 Flash
depressing,central_southern_asia,CSA,0.6483333333333333,0.3599583333333333,0.9417083333333335,0.0003332222592469177,True,3000,Gemini 2.5 Flash
depressing,east_southeast_asia,ESEA,3.151666666666667,2.8533333333333335,3.435,0.0003332222592469177,True,3000,Gemini 2.5 Flash
depressing,oceania,OCE,0.325,0.05,0.6,0.018327224258580473,True,3000,Gemini 2.5 Flash
depressing,latin_america_caribbean,LAC,1.2133333333333334,0.921625,1.533416666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
depressing,europe_northern_america,ENA,0.35833333333333334,0.09329166666666669,0.625,0.006997667444185272,True,3000,Gemini 2.5 Flash
