model_key,model_label,color,marker,image_micro20,micro_abbr,home_meso_abbr,n_images,mu_self,mu_others,sigma_region,ipi,ipi_boot_mean,ci95_low,ci95_high,ci95_lower_delta,ci95_upper_delta,text_variant,bootstrap_reps
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Middle Africa,MAF,SSA,103,0.9601968560194176,0.9633443507928804,0.2514592362905478,-0.0125169185268108,-0.0200295534760663,-0.2635815892527561,0.1622071917109445,0.2435520357766897,0.1822367451870109,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Western Africa,WAF,SSA,150,0.9679411038,0.9201904558888888,0.3528186892125556,0.1353404719508605,0.1340786222160855,0.0090768091809265,0.2290678788579286,0.1250018130351589,0.0949892566418431,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Southern Africa,SAF,SSA,151,0.9443120360927152,0.9156217114679912,0.3700875858739906,0.0775230667545074,0.0780992528604793,-0.0640735364597793,0.2007175247636898,0.1421727893202586,0.1226182719032104,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Caribbean,CAR,LAC,76,0.9957505118421052,0.9291214353070176,0.3259263142159566,0.2044298776408086,0.2001000465948131,0.1176054273427716,0.2753353914096241,0.0824946192520414,0.075235344814811,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Central America,CAM,LAC,153,0.9445403477124183,0.917364134466231,0.3712320113490106,0.0732054683200201,0.074138904475079,-0.0694550851116482,0.1986914512931873,0.1435939895867272,0.1245525468181083,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,South America,SAM,LAC,175,0.9569171217714284,0.9004062902171429,0.3977634049665743,0.1420714697447705,0.141702887720551,0.0206591987798001,0.2425307488755464,0.1210436889407508,0.1008278611549954,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Australia and New Zealand,ANZ,OCE,150,0.9569530911333334,0.9633943183888888,0.2566927939062297,-0.0250931362643101,-0.0240642619313024,-0.2049356415346604,0.1362604289163431,0.1808713796033579,0.1603246908476456,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Pacific islands,PAC,OCE,43,0.9966514756826012,0.9568944715701264,0.2516925726573064,0.1579585908822436,0.1542222408842233,0.0761879590399394,0.2387599579582342,0.0780342818442838,0.0845377170740109,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Northern America,NAM,ENA,150,0.945159751,0.8328314936,0.5188514472553393,0.2164940620175634,0.2185339967634216,0.1321229871009556,0.2935216350851833,0.086411009662466,0.0749876383217616,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Western Europe,WEU,ENA,150,0.9705071962666668,0.8648491848000001,0.4658313062133898,0.2268160384614992,0.2266917730052001,0.1459969326499466,0.2927351867281812,0.0806948403552534,0.066043413722981,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Northern Europe,NEU,ENA,194,0.9965606755670104,0.85068305040378,0.48276690598626,0.3021698947346284,0.3017914291242421,0.2644127699581284,0.3384472305375998,0.0373786591661137,0.0366558014133576,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Southern Europe,SEU,ENA,167,0.9373090449101796,0.9110344541317364,0.3948834083256887,0.0665375911584835,0.0646329410998058,-0.0723168173487511,0.1904246535686639,0.136949758448557,0.125791712468858,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Eastern Europe,EEU,ENA,182,0.9520507574175824,0.8862106825778389,0.434718334502285,0.1514545617569241,0.1511081922293156,0.0310726140959235,0.2478175655887771,0.1200355781333921,0.0967093733594614,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Central Asia,CAS,CSA,150,0.9832270897333334,0.76826984437,0.5906121013432737,0.3639567236675982,0.3630622604198403,0.296418619187051,0.420947624253713,0.0666436412327893,0.0578853638338726,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Southern Asia,SAS,CSA,160,0.9974166896875,0.9547776830520834,0.2640064430359233,0.1615074471103523,0.1592962022766561,0.1073209425688527,0.2086622670354919,0.0519752597078033,0.0493660647588358,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Northern Africa,NAF,NAWA,97,0.9973936704123711,0.8119119831786941,0.5353460001517084,0.3464706697745284,0.3461354035938407,0.2913005482767539,0.4018531345044895,0.0548348553170867,0.0557177309106488,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Western Asia,WAS,NAWA,150,0.9707687016666668,0.8678648782555556,0.4577046795939304,0.2248258058064996,0.2256519392309586,0.1290780518580138,0.2991281686318963,0.0965738873729447,0.0734762294009377,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Eastern Asia,EAS,ESEA,159,0.9721803205031446,0.8963187186687632,0.4104562970264137,0.18482260446232,0.1857707857123797,0.0900706461148938,0.2617548916663133,0.0957001395974858,0.0759841059539336,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,South-eastern Asia,SEA,ESEA,180,0.9861098921666668,0.9688160485555556,0.2220991381819269,0.0778654242095499,0.0799306771100555,-0.0150250739116199,0.1506614306487656,0.0949557510216755,0.0707307535387101,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Eastern Africa,EAF,SSA,153,0.9710968496078431,0.958182291056645,0.2642730925320396,0.0488682310690879,0.0493045194738747,-0.0981868974765048,0.1672423934301121,0.1474914169503796,0.1179378739562373,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Middle Africa,MAF,SSA,103,0.9974526052427184,0.9804818816828478,0.165385333433422,0.1026132318238629,0.1013520535678581,0.0542621856754641,0.1476716180765252,0.0470898678923939,0.046319564508667,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Western Africa,WAF,SSA,150,0.9972469441333331,0.9208064956444444,0.3504114220188263,0.2181448539790517,0.217762560625091,0.1785862101647159,0.2547433167540514,0.0391763504603751,0.0369807561289603,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Southern Africa,SAF,SSA,151,0.996788219205298,0.89089031705298,0.4096191102490605,0.2585277383370347,0.2578521112442179,0.2184053613891917,0.2954572996981661,0.0394467498550261,0.0376051884539481,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Caribbean,CAR,LAC,76,0.9451329567105264,0.9533509532017544,0.2948470951850991,-0.0278720619108318,-0.0222060565390425,-0.2367852962498586,0.1568809043692497,0.214579239710816,0.1790869609082922,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Central America,CAM,LAC,153,0.9709928525490196,0.957532568409586,0.2696396173870368,0.0499195343394689,0.0534811908750633,-0.062910860772012,0.1514635891517127,0.1163920516470753,0.0979823982766494,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,South America,SAM,LAC,175,0.9747094639428572,0.9274905369809524,0.3439905774064726,0.1372680825094489,0.1383513739671653,0.0288141833239025,0.2211734624584108,0.1095371906432628,0.0828220884912454,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Australia and New Zealand,ANZ,OCE,150,0.9428180505333332,0.9694744999555556,0.2468496479924873,-0.1079865806534737,-0.1025553085218001,-0.2829997090761282,0.0651389497199883,0.1804444005543281,0.1676942582417884,stripped,3000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,Pacific islands,PAC,OCE,43,0.9487016711735574,0.9743143896529572,0.2268752044682882,-0.1128934232342687,-0.140324618300676,-0.4929830453395917,0.1658538933693231,0.3526584270389156,0.3061785116699992,stripped,3000
